frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
93,0.00176380412,0.000127479871,0.000218863788,1.23465486e-06,3.34675751e-05,0.80481565,0.19302316,1.633134e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___93.jpg
94,0.003747085,0.000752099033,0.00159971858,4.325221e-05,2.5896923e-05,0.7591594,0.234179333,0.000493237632,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___94.jpg
95,0.008851465,0.000319564017,0.00533433771,9.831777e-05,1.35604059e-05,0.7736689,0.2098081,0.001905768,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___95.jpg
96,0.00445451448,0.00128307869,0.00114953029,1.65781166e-05,1.2912602e-05,0.767787755,0.225194216,0.000101430356,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___96.jpg
97,0.03706731,0.003602992,0.03576957,0.00138783909,0.0009832735,0.493306875,0.4228545,0.005027621,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___97.jpg
98,0.0482648872,0.00127457152,0.0134967063,0.0007343265,0.000110611771,0.7784219,0.14896208,0.008734971,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___98.jpg
99,0.00160792447,0.000730856264,0.0008695935,1.10100973e-05,5.267301e-05,0.7188468,0.2777749,0.000106248081,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___99.jpg
100,0.00432371255,0.0005208874,0.00390476687,9.53878844e-05,8.282513e-05,0.6724042,0.317504674,0.001163504,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___100.jpg
101,0.000489728933,2.82051569e-05,0.0001670623,2.95245741e-07,1.8119556e-06,0.5797001,0.419610083,2.72011425e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___101.jpg
102,0.0108550554,0.0005388496,0.00938609149,0.000275392318,1.26719478e-05,0.824712038,0.140449345,0.0137705682,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___102.jpg
103,0.004944634,0.000234968669,0.000226634467,6.360647e-07,4.835742e-07,0.731445253,0.2631408,6.61410559e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___103.jpg
104,0.000229880156,0.00135571824,0.0005809601,2.482245e-06,7.142794e-05,0.7383383,0.25937894,4.22964949e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___104.jpg
105,0.0006755389,0.0005623664,0.0002888576,3.19673086e-06,0.000149815911,0.904388845,0.09385229,7.90916747e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___105.jpg
106,0.0928626657,0.003574189,0.0213826038,8.647505e-05,0.0001908547,0.81946677,0.0008953582,0.0615410656,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___106.jpg
107,0.0179320332,0.00181562966,0.0200962014,0.0003262069,0.00237573637,0.8893185,0.056797225,0.0113384584,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___107.jpg
108,0.0297941715,0.00128250779,0.0285982843,0.000492063,1.85270128e-05,0.77277,0.1597232,0.007321262,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___108.jpg
109,0.00287076668,0.0002462841,0.000310438656,1.79916208e-06,1.51943937e-06,0.7007125,0.295843661,1.30598746e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___109.jpg
110,0.01037355,0.000403913669,0.004977056,0.00010967764,4.19757671e-05,0.8185574,0.164093181,0.00144328468,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___110.jpg
111,0.0006502218,0.0002879827,0.0004940648,3.495451e-06,3.807102e-05,0.660789251,0.3377003,3.659788e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___111.jpg
112,0.0358301662,0.004732783,0.0237061549,0.00114554435,0.001340918,0.8385403,0.0136161819,0.08108792,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___112.jpg
113,0.09730556,0.00130856794,0.0332605727,6.541623e-05,0.000387696084,0.6524123,0.00231071259,0.212949172,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___113.jpg
114,0.0284233019,0.000321788073,0.008958558,6.796079e-05,1.83709417e-05,0.7979959,0.16383411,0.000379966921,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___114.jpg
