frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
64,0.04570731,0.012313987,0.015987543,0.001063248,0.00521319,0.8426214,0.005750358,0.071343,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___64.jpg,1_24_17
65,0.014524693,0.003432576,0.001227537,0.000489841,0.00012388,0.9683784,0.006392245,0.005430785,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___65.jpg,1_24_17
66,0.028422741,0.005378153,0.005318721,1.60E-05,0.001055416,0.9255329,0.000213411,0.034062658,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___66.jpg,1_24_17
67,0.000148836,0.002089725,0.000922867,2.37E-07,0.9168092,0.07899685,7.76E-05,0.000954642,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___67.jpg,1_24_17
68,0.016111001,0.002018037,0.006679796,1.35E-06,0.002402753,0.9342117,0.000155486,0.03841989,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___68.jpg,1_24_17
69,0.010466882,0.008805748,0.006217115,6.15E-06,0.0007467,0.9687608,0.000417923,0.004578691,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___69.jpg,1_24_17
70,0.018154971,0.005149823,0.008138089,3.82E-05,0.003647431,0.857522964,0.001176022,0.106172524,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___70.jpg,1_24_17
71,0.002639788,0.000609326,0.001377502,1.61E-06,9.57E-05,0.704945266,0.290315837,1.49E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___71.jpg,1_24_17
72,0.013655379,0.002482235,0.01678401,3.30E-05,0.009940082,0.6610336,0.2959857,8.60E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___72.jpg,1_24_17
73,0.08654146,0.017913697,0.02600062,0.000267065,0.001351631,0.7348487,0.132113084,0.000963768,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___73.jpg,1_24_17
74,0.016357582,0.002131475,0.004052146,0.000868424,0.000168649,0.9307284,0.011525032,0.034168325,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___74.jpg,1_24_17
75,0.055955265,0.002001719,0.008512851,0.00155015,7.51E-05,0.868583739,0.045386482,0.017934745,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___75.jpg,1_24_17
76,0.07959876,0.00382199,0.024050813,0.001383553,0.001384866,0.6652264,0.004016807,0.220516786,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___76.jpg,1_24_17
77,0.113198504,0.00304943,0.01394177,2.65E-05,0.001105396,0.8120059,0.000429245,0.05624329,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___77.jpg,1_24_17
78,0.019936139,0.006141404,0.015837463,0.000410846,0.00084518,0.907664955,0.02981428,0.01934971,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___78.jpg,1_24_17
79,0.01200986,0.005956333,0.005218624,0.000154205,0.002111346,0.919883549,0.001556013,0.053110093,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___79.jpg,1_24_17
80,0.000214792,0.000362754,0.000179796,6.19E-07,0.002866487,0.9291008,0.06725719,1.75E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___80.jpg,1_24_17
81,0.01003594,0.001003366,0.008933269,4.34E-05,0.000503712,0.873026,0.106072009,0.000382295,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___81.jpg,1_24_17
82,0.006641112,0.002247344,0.010919487,0.000681215,0.002968594,0.8564333,0.1127524,0.00735656,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___82.jpg,1_24_17
83,0.000755752,9.05E-05,5.90E-05,2.73E-07,3.54E-05,0.9168119,0.08223967,7.56E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___83.jpg,1_24_17
84,0.011917072,0.000751856,0.003017556,4.82E-05,0.000770516,0.882203758,0.101013333,0.000277702,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___84.jpg,1_24_17
85,0.107872978,0.003209914,0.013733017,0.000125321,0.000566472,0.781895936,0.000648841,0.0919475,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___85.jpg,1_24_17
86,0.003233621,6.74E-05,0.000730636,1.22E-06,0.000136537,0.8182346,0.1775891,6.85E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___86.jpg,1_24_17
87,0.026719587,0.003062538,0.0002882,8.28E-06,5.22E-05,0.968066454,0.001678625,0.00012414,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___87.jpg,1_24_17
88,0.001277748,3.43E-05,0.000302149,1.78E-07,9.01E-06,0.468470961,0.5299053,2.83E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___88.jpg,1_24_17
89,0.00046223,1.49E-05,4.27E-05,1.13E-07,3.72E-06,0.5149665,0.4845096,3.54E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___89.jpg,1_24_17
90,0.000959178,2.05E-05,1.72E-05,1.11E-08,1.68E-06,0.8056349,0.193366379,1.08E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___90.jpg,1_24_17
91,0.026023926,0.004212681,0.011058986,5.65E-05,0.001032196,0.883071,0.000817771,0.07372697,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___91.jpg,1_24_17
92,0.01483398,0.001098851,0.006351458,0.001612593,0.000759095,0.8028774,0.008966564,0.163500056,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___92.jpg,1_24_17
93,0.000294182,0.000109003,0.000150272,5.77E-07,5.43E-06,0.858664632,0.140744463,3.14E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___93.jpg,1_24_17
94,0.000129308,9.70E-05,4.83E-05,3.47E-08,0.000596475,0.9009178,0.09820993,1.15E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___94.jpg,1_24_17
95,0.002971596,4.85E-05,0.000262011,6.75E-07,9.41E-06,0.5935848,0.4031204,2.61E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___95.jpg,1_24_17
96,0.000508466,5.10E-05,4.10E-05,4.23E-08,6.29E-05,0.857904732,0.141431287,5.87E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___96.jpg,1_24_17
97,0.002680608,0.001917308,0.005043637,0.000202467,0.000269089,0.9317649,0.03473266,0.02338934,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___97.jpg,1_24_17
98,0.000114893,9.18E-06,9.54E-06,9.52E-09,5.58E-06,0.7167115,0.283149183,1.23E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___98.jpg,1_24_17
99,0.004532365,0.001123358,0.012364455,0.000316627,6.92E-05,0.7792313,0.191017315,0.011345331,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___99.jpg,1_24_17
100,0.001008775,0.000482731,1.50E-05,8.63E-07,5.33E-06,0.997499943,0.000911921,7.54E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___100.jpg,1_24_17
101,0.003536493,0.004020563,0.000651767,5.08E-05,0.000199987,0.9822065,0.00152423,0.007809667,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___101.jpg,1_24_17
102,0.06214512,0.002971532,0.035104092,0.000108499,0.000573028,0.837414,0.054209832,0.007473872,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___102.jpg,1_24_17
