frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
85,0.001400165,0.000251137,0.000537381,4.22E-06,3.32E-05,0.895506,0.10219536,7.25E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___85.jpg,1_23_17
86,0.001956969,0.000329327,0.001005877,2.97E-06,1.60E-05,0.8149162,0.18173945,3.33E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___86.jpg,1_23_17
87,0.000875103,5.41E-05,0.000168604,4.53E-07,3.68E-06,0.8692686,0.129614234,1.52E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___87.jpg,1_23_17
88,0.005957901,0.001797162,0.000868022,5.02E-06,0.000161311,0.89594835,0.09521194,5.03E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___88.jpg,1_23_17
89,0.003295608,0.000218032,0.001551222,2.36E-05,0.000181263,0.866787,0.127556846,0.000386462,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___89.jpg,1_23_17
90,0.005767487,0.000166411,0.000867994,8.06E-06,8.79E-06,0.8473308,0.145693257,0.000157212,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___90.jpg,1_23_17
91,0.001963937,0.000314212,0.001691441,1.72E-05,9.19E-05,0.8533306,0.1421922,0.000398431,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___91.jpg,1_23_17
92,0.001960297,0.000336211,0.00150255,7.28E-06,6.81E-05,0.8623547,0.133572072,0.000198824,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___92.jpg,1_23_17
93,0.004597858,0.000993132,0.001099865,1.43E-05,0.00025464,0.90737,0.08537127,0.000298931,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___93.jpg,1_23_17
94,0.024204396,0.001786272,0.025518557,0.002141914,0.000308849,0.769839764,0.159378022,0.01682224,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___94.jpg,1_23_17
